NAME,P/S,EIN,PASSIVE LOSS,PASSIVE INCOME,NON-PASSIVE LOSS,SECTION 179 DEDUCTION,NON-PASSIVE INCOME
NORTHERN LIGHTS AGRICULTURAL DEV GROUP LP,P,38-1602947,0,5111,0,42952,4241
SOUTHBRIDGE COMMERCIAL REALTY HOLDINGS LLC,S,72-9450318,3810,3600,0,0,7186
EVERGREEN VALLEY TRANSPORTATION SERVICES INC,P,46-3178025,21167,727,0,4664,0
NORTHERN LIGHTS AGRICULTURAL DEV GROUP LP,P,59-8236410,4082,0,0,4124,47146
PRAIRIE WIND RENEWABLE ENERGY PARTNERS LP,S,23-7051894,0,4709,484,2636,0
SOUTHBRIDGE COMMERCIAL REALTY HOLDINGS LLC,P,85-4619372,655,417,697,0,0
EVERGREEN VALLEY TRANSPORTATION SERVICES INC,P,30-5928147,0,1898,7756,898,0
CUMBERLAND GAP HOSPITALITY MANAGEMENT COMPANY,S,67-2384051,6976,0,43845,3457,0
PRAIRIE WIND RENEWABLE ENERGY PARTNERS LP,P,94-7160283,7561,0,8742,543,0
NORTHERN LIGHTS AGRICULTURAL DEV GROUP LP,P,12-8495736,6510,2331,39539,0,0
