NAME,P/S,EIN,PASSIVE LOSS,PASSIVE INCOME,NON-PASSIVE LOSS,SECTION 179 DEDUCTION,NON-PASSIVE INCOME
SILVER BIRCH TRADING COMPANY LLC,S,41-6082317,636,0,0,8677,9627
CANYON MESA LIVESTOCK PARTNERS LP,P,27-3914068,27553,7543,0,0,8047
BRIGHTWATER SEAFOOD DISTRIBUTORS,P,62-8450179,0,8194,14969,11868,0
HAWTHORNE DENTAL ASSOCIATES PC,S,19-2038746,0,1457,245,710,0
CANYON MESA LIVESTOCK PARTNERS LP,P,84-7126390,0,1570,0,31786,290
IRONGATE LOGISTICS GROUP LLC,S,35-9604821,34957,8447,0,8969,0
PEBBLECREEK ORCHARD ENTERPRISES,P,73-1587042,303,0,0,617,4336
SILVER BIRCH TRADING COMPANY LLC,P,58-4269135,35588,178,0,0,990
SILVER BIRCH TRADING COMPANY LLC,P,66-3095472,0,0,8758,42750,20049
THUNDERHEAD ENERGY PARTNERS LP,S,48-7812503,916,0,960,227,0
CANYON MESA LIVESTOCK PARTNERS LP,S,22-5640918,0,6800,0,28652,429
MOSSY GLEN TIMBER HOLDINGS LP,P,91-4732685,7488,0,0,1493,346
FOXTAIL RIDGE VINEYARDS LLC,P,14-8296350,0,8588,3066,0,7501
HAWTHORNE DENTAL ASSOCIATES PC,P,87-6051294,2332,0,9391,860,0
BRIGHTWATER SEAFOOD DISTRIBUTORS,P,39-2748061,48968,9680,0,0,36770
SILVER BIRCH TRADING COMPANY LLC,P,76-5183924,834,0,4723,0,6979
